ticker,position_type,thesis,review_date
AAPL,holding,"High-quality ecosystem compounder; services margin expansion",2026-07-01
MSFT,holding,"Cloud + AI operating leverage; durable enterprise franchise",2026-07-01
GOOGL,holding,"Search moat + cloud upside despite ad-cyclicality risk",2026-07-01
JNJ,holding,"Defensive healthcare cash machine; consumer-spinoff completed",2026-07-01
INTC,holding,"Foundry turnaround optionality; bought as deep value",2026-04-01
DIS,watchlist,"Streaming margin recovery candidate post-restructuring",2026-07-01
PYPL,watchlist,"Cheap if branded-checkout durability holds",2026-07-01
TGT,watchlist,"Mean-reversion candidate post-margin compression",2026-07-01
NVDA,holding,"AI compute leader at premium valuation",2026-07-01
CMCSA,holding,"Broadband moat + media optionality at low-double-digit P/E",2026-07-01
